arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_10,2.0,320000,1,1939235730,environment_complete,,environment_complete:end_state,15899,13911,0,,15899,,,
v1_10,2.0,320000,2,1558629099,mastery,att_free_1,mastery:att_free_1,520,0,0,,520,,,
v1_10,2.0,320000,2,1558629099,mastery,att_yellow,mastery:att_yellow,525,6,0,531,531,,,
v1_10,2.0,320000,2,1558629099,mastery,att_free_0,mastery:att_free_0,540,0,0,,540,,,
v1_10,2.0,320000,2,1558629099,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,545,0,0,,545,,,
v1_10,2.0,320000,2,1558629099,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,551,4,0,559,559,,,
v1_10,2.0,320000,2,1558629099,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,552,3,0,558,558,,,
v1_10,2.0,320000,2,1558629099,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,593,0,0,,593,,,
v1_10,2.0,320000,2,1558629099,mastery,att_free_3,mastery:att_free_3,597,53,0,650,650,,,
v1_10,2.0,320000,2,1558629099,mastery,att_green,mastery:att_green,8327,3,0,8330,8330,,,
v1_10,2.0,320000,2,1558629099,knowledge_banking,haz_green,knowledge_banking:haz_green,309855,3,0,309858,309858,,,
v1_10,2.0,320000,2,1558629099,end_state_activation,,end_state_activation,309855,10144,0,319999,319999,,,
v1_10,2.0,320000,2,1558629099,end_state_banking,att_free_2,end_state_banking:att_free_2,309892,3818,0,319996,319996,,,
v1_10,2.0,320000,2,1558629099,environment_complete,,environment_complete:end_state,309892,37,0,,309892,,,
