arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
v1_5,5.0,320000,5,898959327,0.0,1.0,0.703848,True,True,True,True,interleaved,True
v1_5,5.0,320000,6,518352696,0.0,1.0,0.702894,True,True,True,True,interleaved,True
v1_5,5.0,320000,7,38407178,0.0,1.0,0.747806,True,True,True,True,interleaved,True
v1_5,5.0,320000,8,1805284195,0.0,1.0,0.703869,True,True,True,True,interleaved,True
v1_5,5.0,320000,9,1325338677,0.0,1.0,0.712135,True,True,True,True,interleaved,True
v1_5,10.0,320000,0,565380326,0.0,1.0,0.707325,True,True,True,True,interleaved,True
v1_5,10.0,320000,1,184773695,0.0,1.0,0.71515,True,True,True,True,interleaved,True
v1_5,10.0,320000,2,1852311825,0.0,1.0,0.703157,True,True,True,True,interleaved,True
v1_5,10.0,320000,3,1471705194,0.0,1.0,0.704539,True,True,True,True,interleaved,True
v1_5,10.0,320000,4,1091098563,0.0,1.0,0.712874,True,True,True,False,interleaved,True
v1_5,10.0,320000,5,611153045,0.0,1.0,0.756592,True,True,True,True,interleaved,True
v1_5,10.0,320000,6,230546414,0.0,1.0,0.709564,True,True,True,True,interleaved,True
v1_5,10.0,320000,7,1898084544,0.0,1.0,0.700391,True,True,True,True,interleaved,True
v1_5,10.0,320000,8,1517477913,0.0,1.0,0.708337,True,True,True,True,interleaved,True
v1_5,10.0,320000,9,1037532395,0.0,1.0,0.707039,True,True,True,False,interleaved,True
