hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost,10.0,142.473375,23.7455625,12.830348216071071,62,3,5,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost,10.0,128.238,21.45275,11.190104836175621,74,4,5,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,10.0,67.86725,11.297916666666666,15.71899905733139,56,4,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,10.0,131.148875,1.4155624999999998,7.349201588253777,76,3,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,10.0,120.1035,21.113812499999998,5.371797069157596,81,3,3,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost,10.0,142.234125,23.7056875,18.716999457251404,40,1,3,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,10.0,68.904,10.540291666666667,0.7153283628988488,76,1,1,"(15, 16)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,77.75625000000001,4.180229166666667,15.491187476790355,82,2,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,124.88850000000001,23.20725,12.830348216071071,56,2,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,78.115125,3.9409791666666663,3.2941554546233607,86,2,2,"(4, 15)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,139.283375,23.213895833333332,14.447810437912418,70,3,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,139.80175,23.33352083333333,10.903062244693917,77,4,5,"(11, 5)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,110.13475,18.4820625,6.756891478847087,91,3,3,"(15, 16)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,106.62575,18.52858333333333,12.68910503613563,76,3,5,"(4, 15)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,143.15125,23.858541666666664,12.743779815465478,49,2,3,"(15, 16)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,57.300375,12.161875,8.793527008883938,102,5,5,"(4, 15)",0,0,0,0,0.0,0,0,0,0
impassable,0.0,77.75625000000001,15.272124999999999,8.22855428914217,84,5,5,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,0.1,59.852375,2.5785833333333334,8.424472248407461,84,4,4,"(4, 15)",0,28,0,28,2.800000000000001,1,0,0,0
cost_no_aversion,0.1,143.78925,23.964875,8.752520924386552,57,1,2,"(4, 15)",0,0,0,0,0.0,0,0,0,0
