i_cost,i_steps,i_run_idx,j_cost,j_steps,j_run_idx,d_order,d_content,d_xref,d_conf,d_composite,same_cell
0.1,20000,1,0.5,20000,3,0.571429,0.500000,1.000000,0.672902,0.686083,0
0.1,20000,1,0.5,20000,4,0.523810,0.416667,1.000000,0.343009,0.570871,0
0.1,20000,1,0.5,20000,5,0.400000,0.538462,0.500000,0.198269,0.409183,0
0.1,20000,1,0.5,20000,6,0.333333,0.500000,1.000000,0.535375,0.592177,0
0.1,20000,1,0.5,20000,7,0.476190,0.562500,1.000000,0.768368,0.701765,0
0.1,20000,1,0.5,20000,8,0.533333,0.400000,1.000000,0.298683,0.558004,0
0.1,20000,1,0.5,20000,9,0.428571,0.500000,0.666667,0.186630,0.445467,0
0.1,20000,1,0.5,80000,0,0.380952,0.533333,1.000000,0.902248,0.704133,0
0.1,20000,1,0.5,80000,1,0.380952,0.533333,1.000000,0.857526,0.692953,0
0.1,20000,1,0.5,80000,2,0.333333,0.533333,1.000000,0.628450,0.623779,0
0.1,20000,1,0.5,80000,3,0.400000,0.538462,1.000000,0.517780,0.614060,0
0.1,20000,1,0.5,80000,4,0.285714,0.533333,1.000000,0.872044,0.672773,0
0.1,20000,1,0.5,80000,5,0.238095,0.562500,1.000000,0.547425,0.587005,0
0.1,20000,1,0.5,80000,6,0.285714,0.533333,1.000000,0.750655,0.642426,0
0.1,20000,1,0.5,80000,7,0.238095,0.416667,1.000000,0.373577,0.507085,0
0.1,20000,1,0.5,80000,8,0.190476,0.461538,0.500000,0.476989,0.407251,0
0.1,20000,1,0.5,80000,9,0.357143,0.466667,0.500000,0.828202,0.538003,0
0.1,20000,1,0.5,160000,0,0.238095,0.562500,1.000000,0.838547,0.659785,0
0.1,20000,1,0.5,160000,1,0.142857,0.562500,1.000000,0.863011,0.642092,0
0.1,20000,1,0.5,160000,2,0.392857,0.529412,0.750000,0.714740,0.596752,0
0.1,20000,1,0.5,160000,3,0.333333,0.562500,1.000000,0.899979,0.698953,0
0.1,20000,1,0.5,160000,4,0.464286,0.466667,0.500000,0.816092,0.561761,0
0.1,20000,1,0.5,160000,5,0.428571,0.562500,1.000000,0.798311,0.697346,0
0.1,20000,1,0.5,160000,6,0.571429,0.588235,1.000000,0.751542,0.727802,0
0.1,20000,1,0.5,160000,7,0.142857,0.588235,1.000000,0.773969,0.626265,0
0.1,20000,1,0.5,160000,8,0.523810,0.533333,1.000000,0.873928,0.732768,0
0.1,20000,1,0.5,160000,9,0.238095,0.533333,1.000000,0.824183,0.648903,0
0.1,20000,1,1.0,20000,0,0.000000,0.833333,1.000000,0.447406,0.570185,0
0.1,20000,1,1.0,20000,1,0.095238,0.533333,1.000000,0.858927,0.621875,0
0.1,20000,1,1.0,20000,2,0.300000,0.545455,1.000000,0.201233,0.511672,0
0.1,20000,1,1.0,20000,3,0.500000,0.692308,1.000000,0.379186,0.642874,0
0.1,20000,1,1.0,20000,4,0.428571,0.384615,0.666667,0.175855,0.413927,0
