arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
,,,,,haz_yellow,604271,3.741657,3,True,1
,,,,,haz_unaff_2,604429,5.656854,3,False,0
,,,,,haz_yellow,604943,3.741657,3,True,1
,,,,,dist_yellow,605428,1.0,3,True,0
,,,,,haz_blue,605428,5.0,3,False,0
,,,,,haz_unaff_2,605428,5.09902,3,False,0
,,,,,haz_unaff_1,605689,4.582576,3,False,0
,,,,,haz_unaff_0,605757,4.582576,3,False,0
,,,,,haz_green,605689,8.306624,3,False,0
,,,,,dist_yellow,605614,2.44949,3,True,0
,,,,,haz_unaff_1,607466,4.242641,3,False,0
,,,,,haz_unaff_0,607466,4.123106,3,False,0
,,,,,haz_green,607466,6.63325,3,False,0
,,,,,haz_blue,607188,4.582576,3,False,0
,,,,,dist_yellow,607652,2.236068,3,True,0
,,,,,haz_unaff_2,607466,4.690416,3,False,0
,,,,,haz_unaff_0,609233,5.656854,3,False,0
,,,,,haz_green,609286,6.708204,3,False,0
,,,,,haz_unaff_1,609286,4.123106,3,False,0
,,,,,haz_yellow,609286,2.236068,3,True,1
,,,,,haz_blue,609286,4.690416,3,False,0
,,,,,haz_unaff_1,610062,4.898979,3,False,0
,,,,,haz_unaff_0,610198,5.09902,3,False,0
,,,,,haz_blue,609881,5.477226,3,False,0
,,,,,haz_unaff_2,610437,6.0,3,False,0
,,,,,haz_green,610509,7.28011,3,False,0
,,,,,dist_yellow,610308,2.236068,3,True,0
,,,,,haz_blue,611043,5.196152,3,False,0
,,,,,haz_unaff_2,611043,5.656854,3,False,0
,,,,,haz_unaff_1,611093,4.582576,3,False,0
,,,,,haz_blue,611701,5.196152,3,False,0
,,,,,haz_unaff_2,611701,5.656854,3,False,0
,,,,,dist_yellow,611701,2.236068,3,True,0
,,,,,haz_yellow,612080,2.44949,3,True,1
,,,,,haz_green,612100,7.81025,3,False,0
,,,,,haz_unaff_0,611909,4.242641,3,False,0
,,,,,haz_unaff_2,612101,4.358899,3,False,0
,,,,,dist_yellow,612101,1.414214,3,True,0
,,,,,haz_unaff_1,612596,4.472136,3,False,0
,,,,,haz_unaff_2,614159,5.656854,3,False,0
,,,,,haz_unaff_0,615317,3.605551,3,False,0
,,,,,haz_yellow,615317,2.828427,3,True,1
,,,,,dist_yellow,615320,3.0,3,True,0
,,,,,haz_green,615319,7.549834,3,False,0
,,,,,haz_blue,616682,5.09902,3,False,0
,,,,,haz_unaff_2,616344,5.656854,3,False,0
,,,,,haz_green,617080,7.681146,3,False,0
,,,,,haz_green,617833,7.348469,3,False,0
,,,,,haz_blue,617833,4.582576,3,False,0
,,,,,haz_unaff_2,617833,5.09902,3,False,0
,,,,,haz_unaff_0,618002,5.09902,3,False,0
,,,,,haz_yellow,618338,2.44949,3,True,1
,,,,,haz_unaff_1,618317,4.242641,3,False,0
,,,,,haz_unaff_2,619557,5.477226,3,False,0
,,,,,haz_yellow,619608,2.236068,3,True,1
,,,,,haz_unaff_0,620111,4.358899,3,False,0
,,,,,haz_unaff_0,620945,3.0,3,False,0
,,,,,haz_yellow,620945,1.414214,3,True,1
,,,,,dist_yellow,621615,2.236068,3,True,0
,,,,,haz_unaff_1,621779,4.898979,3,False,0
,,,,,haz_unaff_1,622602,5.09902,3,False,0
,,,,,haz_blue,622751,5.196152,3,False,0
,,,,,haz_unaff_1,623507,3.741657,3,False,0
,,,,,haz_unaff_0,623507,3.605551,3,False,0
,,,,,haz_yellow,623035,2.44949,3,True,1
,,,,,haz_green,623023,7.874008,3,False,0
,,,,,haz_unaff_1,624228,5.09902,3,False,0
,,,,,haz_unaff_1,624962,3.741657,3,False,0
,,,,,haz_unaff_0,624962,3.605551,3,False,0
,,,,,haz_yellow,624962,2.828427,3,True,1
,,,,,haz_green,625075,7.348469,3,False,0
,,,,,haz_unaff_2,625960,5.91608,3,False,0
,,,,,dist_yellow,625960,2.44949,3,True,0
,,,,,haz_unaff_1,626048,4.472136,3,False,0
,,,,,haz_unaff_0,626048,4.358899,3,False,0
,,,,,haz_blue,626249,5.196152,3,False,0
,,,,,haz_yellow,626600,3.464102,3,True,1
,,,,,haz_unaff_0,626567,4.242641,3,False,0
,,,,,haz_unaff_2,626742,6.0,3,False,0
,,,,,haz_green,626742,7.874008,3,False,0
,,,,,haz_unaff_1,626742,4.472136,3,False,0
,,,,,haz_unaff_0,628236,4.123106,3,False,0
,,,,,haz_green,628535,7.874008,3,False,0
,,,,,haz_unaff_1,628465,4.582576,3,False,0
,,,,,haz_blue,627679,4.242641,3,False,0
,,,,,haz_unaff_2,628503,5.656854,3,False,0
,,,,,haz_unaff_0,628931,3.741657,3,False,0
,,,,,haz_unaff_0,630315,4.242641,3,False,0
,,,,,haz_yellow,630284,3.0,3,True,1
,,,,,haz_unaff_1,630131,4.472136,3,False,0
,,,,,haz_unaff_0,630997,5.0,3,False,0
,,,,,haz_yellow,630997,3.741657,3,True,1
,,,,,haz_unaff_1,631204,4.472136,3,False,0
,,,,,haz_green,631204,7.874008,3,False,0
,,,,,dist_yellow,631572,2.828427,3,True,0
,,,,,dist_yellow,632317,1.0,3,True,0
,,,,,haz_unaff_2,632317,4.472136,3,False,0
,,,,,haz_yellow,632411,3.0,3,True,1
,,,,,haz_unaff_2,632870,5.656854,3,False,0
,,,,,haz_unaff_0,632411,4.242641,3,False,0
,,,,,haz_blue,632870,5.196152,3,False,0
,,,,,dist_yellow,633916,2.236068,3,True,0
,,,,,haz_yellow,634159,2.44949,3,True,1
